iter	MultiClass
0	2.117812016
1	2.057211479
2	2.007337504
3	1.968754555
4	1.93666117
5	1.910696347
6	1.889171284
7	1.870143997
88	1.85124719	1.840250735
10	1.829054176
111	1.81718849
12	1.808409983
13	1.801454127
14	1.794576214
15	1.78893431
116	1.785819329117	1.781485399118	1.777686161119	1.774298516220	1.771154725221	1.768788413222	1.766139987223	1.76403417324	1.759984543
225	1.76001525726	1.756716948
27	1.754965559
28	1.753508648
29	1.752551156
30	1.751434733
31	1.750156186
32	1.749054021
33	1.748005952
34	1.747090251
35	1.746478877
36	1.745648675
37	1.745053289
38	1.744345832
39	1.743849796
40	1.742992685
41	1.742397262
42	1.741695853
43	1.741164375
44	1.740544496
45	1.740063759
46	1.739447655
47	1.739006152
48	1.738453171
49	1.737879058
50	1.73749867
51	1.737084099
52	1.736518455
53	1.736117345
54	1.735634361
55	1.735225786
56	1.734838426
57	1.734488737
58	1.734080197
59	1.733809464
60	1.733428177
61	1.733049488
62	1.732671296363	1.732287466464	1.731996736565	1.731505176666	1.731143306767	1.730824668	68	1.730594169	69	1.7302470	1.70	1.7299371	1.71	1.7297372	1.731736223
73	173	1.72889874	174	1.7286375	1.75	1.7284076	1.76	1.7282377	1.77	1.7278978	1.78	1.7276679	1.79	1.7273380	1.80	1.7270181	1.81	1.7266282	1.728869824
83	1.728539375
84	1.84	1.7258285	1.85	1.7256486	1.86	1.725487	1.787	1.725288	1.788	1.725089	1.789	1.724790	1.790	1.724591	1.791	1.724192	1.792	1.723693	1.793	1.723494	1.794	1.723295	1.795	1.723096	1.796	1.722697	1.797	1.722498	1.798	1.722299	1.799	1.7219100	1.100	1.7216101	1.101	1.7214102	1.102	1.7212103	1.103	1.7209104	1.104	1.7206105	1.105	1.7204106	1.106	1.7202107	1.107	1.7200108	1108	1.71974109	1109	1.71953110	1110	1.71911111	1111	1.71878112112	1.718478096
113	1.718127681
114	1.717704607
115	1.717436116	116	1.717052117	117	1.716876118	118	1.716570119	119	1.716253120	120	1.71587121	121	1.715512122	122	1.715194123	123	1.714926124	124	1.714602125125	1.7142834126126	1.7140378127127	1.713665111
128	1.7134213129129	1.71327130	130	1.713017131	131	1.712701238
132	1.71242438
133	1.712188134	134	1.711810342
135	1.711552201
136	1.711199106
137	1.710933138
138	1.710707539
139	1.710526536
140	1.710282775
141	1.709987045
142	1.709578222
143	1.709284244
144	1.70908923
145	1.70880098
146	1.708479362
147	1.708067097
148	1.707796068
149	1.707468646
150	1.707112656
151	1.706810929
152	1.706540429
153	1.706341792
154	1.70614186
155	1.705878562
156	1.705607351
157	1.7052788
158	1.704927596
159	1.704627596
160	1.704393115
161	1.704132155
162	1.703950869
163	1.703854196
164	1.703626315
165	1.703396656
166	1.702989216
167	1.702667334
168	1.702456073
169	1.702253882
170	1.702108375
171	1.701845446
172	1.701677325
173	1.701418805
174	1.701159428
175	1.700887982
176	1.700604708
177	1.700242845
178	1.699936154
179	1.699721832
180	1.699450864
181	1.699275825
182	1.699046996
183	1.698707496
184	1.698247957
185	1.697943207
186	1.697736808
187	1.697554601
188	1.697321234
189	1.697144882
190	1.696967627
191	1.696638994
192	1.696399707
193	1.696138095
194	1.69601013
195	1.695730007
196	1.695464892
197	1.695305746
198	1.695149544
199	1.694935617
200	1.694722658
201	1.694526524
202	1.694295382
203	1.694156171
204	1.693941778
205	1.69383831
206	1.693482439
207	1.693374688
208	1.693207753
209	1.692963731
210	1.692795427
211	1.692592722
212	1.692389321
213	1.692065593
214	1.691858053
215	1.691561247
216	1.691323783
217	1.691199326
218	1.690921797
219	1.69070271
220	1.690499559
221	1.690345474
222	1.690162625
223	1.690001631
224	1.689798614
225	1.689504686
226	1.689323344
227	1.689187527
228	1.688939857
229	1.688659692
230	1.688334223
231	1.688144841
232	1.687914099
233	1.687699628
234	1.687495492
235	1.687265489
236	1.687078933
237	1.686936035
238	1.686703575
239	1.686554405
240	1.68645103
241	1.686164035
242	1.686046576
243	1.68591345
244	1.685651358
245	1.685396208
246	1.685254585
247	1.684975109
248	1.68481874
249	1.684579124
250	1.684378089
251	1.684135651
252	1.683886033
253	1.683731622
254	1.683581503
255	1.683319066
256	1.683096368
257	1.682891683
258	1.682728642
259	1.682425534
260	1.682222119
261	1.682083398
262	1.681760393
263	1.681556927
264	1.681440819
265	1.681333177
266	1.681211426
267	1.680972611
268	1.680682367
269	1.680449593
270	1.680094659
271	1.679933073
272	1.679712475
273	1.679530768
274	1.679410422
275	1.679157227
276	1.67893632
277	1.678674902
278	1.678437637
279	1.678347186
280	1.678224082
281	1.67802482
282	1.677869748
283	1.677675379
284	1.677484485
285	1.677319906
286	1.677169428
287	1.677003373
288	1.676840513
289	1.676634243
290	1.67639081
291	1.676136317
292	1.675946911
293	1.675785278
294	1.675622749
295	1.675387716
296	1.675131985
297	1.674943612
298	1.674794569
299	1.674593611
300	1.674312147
301	1.674063638
302	1.673884147
303	1.67363161
304	1.673379228
305	1.673226484
306	1.672993211
307	1.672626079
308	1.67238728
309	1.67204576
310	1.671801117
311	1.671573872
312	1.671349348
313	1.671072648
314	1.670902862
315	1.670774641
316	1.670468885
317	1.670353124
318	1.67017318
319	1.669933641
320	1.669771093
321	1.66953612
322	1.669413798
323	1.669145819
324	1.669051919
325	1.668800215
326	1.668618888
327	1.668462787
328	1.668227818
329	1.66803587
330	1.667819939
331	1.6676408
332	1.667447639
333	1.667277069
334	1.667151675
335	1.666922507
336	1.666730064
337	1.666437917
338	1.666226635
339	1.666085019
340	1.665911499
341	1.665773343
342	1.665541603
343	1.665365639
344	1.665174712
345	1.664952474
346	1.664772327
347	1.664545424
348	1.664382409
349	1.664296686
350	1.664167516
351	1.66393813
352	1.66374206
353	1.663573696
354	1.663283332
355	1.663125407
356	1.662945724
357	1.662782131
358	1.662639127
359	1.662420466
360	1.662283424
361	1.662001448
362	1.66189258
363	1.661646401
364	1.661412972
365	1.661263144
366	1.661128042
367	1.660903978
368	1.66078841
369	1.660710398
370	1.660506717
371	1.660203272
372	1.660051946
373	1.659869738
374	1.659619168
375	1.659465304
376	1.659293427
377	1.659104255
378	1.659005765
379	1.658882914
380	1.658628727
381	1.658412996
382	1.658213451
383	1.658118995
384	1.657977642
385	1.657766215
386	1.6575687
387	1.657346847
388	1.657187997
389	1.656928198
390	1.656769164
391	1.656530579
392	1.656285256
393	1.656126265
394	1.655961085
395	1.655838934
396	1.655661578
397	1.655431061
398	1.655190949
399	1.654975642
400	1.654792222
401	1.654543198
402	1.654309023
403	1.654077786
404	1.653935726
405	1.653755737
406	1.6536091
407	1.653439145
408	1.653229836
409	1.653061563
410	1.652863993
411	1.652777425
412	1.652659454
413	1.652423517
414	1.65229301
415	1.65209221
416	1.651979071
417	1.651760749
418	1.651562713
419	1.651433047
420	1.651251592
421	1.651156714
422	1.650952915
423	1.650815735
424	1.650601991
425	1.650489713
426	1.650303404
427	1.650138092
428	1.649952941
429	1.649705547
430	1.649482976
431	1.64930685
432	1.649138141
433	1.648937965
434	1.648814267
435	1.648670088
436	1.648506561
437	1.648353345
438	1.648147507
439	1.647929501
440	1.647742614
441	1.647569914
442	1.647391999
443	1.647187089
444	1.647060472
445	1.646927352
446	1.646776387
447	1.64660164
448	1.646443856
449	1.646269928
450	1.645941308
451	1.645808377
452	1.645620605
453	1.645474948
454	1.645149722
455	1.644971514
456	1.644866088
457	1.644813947
458	1.644661502
459	1.644428256
460	1.644277374
461	1.644036912
462	1.643802408
463	1.643601924
464	1.64352637
465	1.643313046
466	1.643158892
467	1.642958329
468	1.642777812
469	1.642592037
470	1.642468453
471	1.642241209
472	1.642084779
473	1.641920435
474	1.641692989
475	1.641542848
476	1.641459836
477	1.641310355
478	1.641242957
479	1.641125288
480	1.64095516
