iter	Passed	Remaining
0	1113	1112233
1	2096	104621022	2776	92272133	3606	89807344	4345	86466355	5106	845963
6	5805	823539
7	6652	824930
8	7533	829558
9	8233	815079
10	8904	800578
11	9507	782822
12	10207	774956
13	10958	771816
14	11611	762510
15	12355	759854
16	12992	751243
17	13665	745521
18	14318	739298
19	15043	737123
20	15822	737624
21	16443	730985
22	17075	725349
23	17746	721687
24	18421	718441
25	19144	717181
26	19662	708596
27	20328	705680
28	21054	704962
29	21671	700718
30	22279	696408
31	22975	695016
32	24096	706112
33	25149	714554
34	25927	714846
35	26385	706532
36	26748	696185
37	27154	687433
38	27594	679953
39	27961	671069
40	28327	662584
41	28686	654325
42	29169	649191
43	29584	642784
44	29992	636508
45	30357	629588
46	30665	621792
47	31015	615135
48	31412	609651
49	31812	604433
50	32221	599576
51	32581	593982
52	32978	589259
53	33352	584288
54	33688	578821
55	34040	573832
56	34402	569146
57	34762	564587
58	35127	560246
59	35469	555681
60	35784	550848
61	36111	546333
62	36499	542854
63	36827	538607
64	37222	535435
65	37670	533100
66	38008	529280
67	38388	526149
68	38727	522544
69	39030	518541
70	39422	515827
71	39697	511653
72	39999	507938
73	40444	506099
74	40761	502719
75	41079	499437
76	41387	496106
77	41700	492924
78	42044	490161
79	42416	487789
80	42851	486181
81	43188	483497
82	43531	480944
83	43859	478272
84	44226	476083
85	44585	473850
86	44867	470852
87	45257	469028
88	45582	466581
89	45930	464407
90	46274	462232
91	46636	460279
92	47048	458851
93	47415	457003
94	47805	455414
95	48083	452783
96	48477	451288
97	48779	448970
98	49147	447288
99	49466	445199
100	49804	443310
101	50063	440755
102	50350	438492
103	50747	437205
104	51103	435594
105	51467	434076
106	51754	431934
107	52115	430436
108	52496	429122
109	52821	427375
110	53229	426314
111	53548	424563
112	53867	422834
113	54262	421725
114	54600	420189
115	54870	418149
116	55205	416633
117	55474	414645
118	55876	413672
119	56198	412124
120	56605	411211
121	56957	409908
122	57334	408796
123	57651	407279
124	58023	406163
125	58466	405554
126	58813	404284
127	59149	402955
128	59477	401587
129	59722	399681
130	60137	398928
131	60518	397955
132	60942	397271
133	61237	395758
134	61671	395157
135	61990	393823
136	62357	392809
137	62725	391807
138	63065	390645
139	63423	389600
140	63796	388661
141	64048	386997
142	64421	386076
143	64884	385701
144	65159	384214
145	65514	383217
146	65840	382055
147	66233	381288
148	66529	379977
149	66797	378521
150	67069	377098
151	67383	375927
152	67716	374874
153	68016	373651
154	68251	372080
155	68603	371162
156	68931	370122
157	69229	368930
158	69588	368076
159	69856	366746
160	70162	365628
161	70471	364537
162	70789	363503
163	71104	362462
164	71314	360893
165	71583	359639
166	71927	358777
167	72261	357865
168	72521	356597
169	72790	355390
170	72985	353829
171	73251	352628
172	73508	351398
173	73754	350120
174	74042	349059
175	74311	347911
176	74656	347132
177	75024	346462
178	75378	345731
179	75734	345014
180	76031	344033
181	76266	342779
182	76571	341850
183	76850	340814
184	77254	340336
185	77531	339305
186	77826	338357
187	78073	337212
188	78377	336318
189	78644	335274
190	78881	334109
191	79194	333274
192	79499	332414
193	79820	331626
194	80014	330315
195	80332	329528
196	80636	328686
197	80858	327519
198	81136	326582
199	81429	325719
200	81714	324823
201	81978	323857
202	82246	322909
203	82504	321929
204	82763	320962
205	82978	319830
206	83301	319119
207	83511	317987
208	83742	316938
209	84041	316156
210	84335	315358
211	84624	314549
212	84901	313698
213	85226	313029
214	85510	312214
215	85748	311235
216	86040	310459
217	86228	309315
218	86456	308321
219	86729	307494
220	87022	306742
221	87281	305878
222	87481	304813
223	87763	304037
224	88065	303337
225	88402	302758
226	88721	302122
227	89005	301370
228	89282	300596
229	89519	299695
230	89843	299089
231	90125	298346
232	90464	297794
233	90729	297002
234	90963	296115
235	91260	295436
236	91561	294773
237	91800	293914
238	92079	293188
239	92386	292556
240	92595	291617
241	92957	291164
242	93225	290418
243	93553	289861
244	93811	289091
245	94101	288425
246	94330	287575
247	94583	286800
248	94808	285949
249	95133	285401
250	95320	284442
251	95651	283918
252	95953	283307
253	96235	282643
254	96484	281887
255	96783	281276
256	97033	280528
257	97247	279679
258	97467	278854
259	97794	278337
260	98053	277631
261	98333	276985
262	98616	276351
263	98993	275982
264	99271	275337
265	99541	274675
266	99708	273731
267	100049	273268
268	100323	272626
269	100608	272016
270	100928	271502
271	101171	270781
272	101400	270029
273	101675	269403
274	101914	268684
275	102211	268119
276	102487	267503
277	102804	266994
278	103097	266426
